"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"X-Action","ShowYourWork Init","","","1676048936240",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"File.Edit","a","","0","1676048938960","test1.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"1","1676048938963","test1.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit","=","","1","1676048939078","test1.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","=",,"2","1676048939079","test1.py","1.1.5 for 2021-2022 @t1",,"=",,,,,
"File.Edit","3","","2","1676048939208","test1.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","3",,"3","1676048939209","test1.py","1.1.5 for 2021-2022 @t1",,"3",,,,,
"X-Keystroke","a",,"1","1676048938963","test1.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke","=",,"2","1676048939079","test1.py","1.1.5 for 2021-2022 @t1",,"=",,,,,
"X-Keystroke","3",,"3","1676048939209","test1.py","1.1.5 for 2021-2022 @t1",,"3",,,,,
"File.Edit","a","","0","1676048949849","test2.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"1","1676048949850","test2.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit","=","","1","1676048950217","test2.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","=",,"2","1676048950218","test2.py","1.1.5 for 2021-2022 @t1",,"=",,,,,
"X-Action","Backspace",,,"1676048951596","test2.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","=","1","1676048951605","test2.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","=","","1","1676048952325","test2.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","=",,"2","1676048952326","test2.py","1.1.5 for 2021-2022 @t1",,"=",,,,,
"File.Edit","3","","2","1676048952670","test2.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","3",,"3","1676048952671","test2.py","1.1.5 for 2021-2022 @t1",,"3",,,,,
"X-Keystroke","a",,"1","1676048949850","test2.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke","=",,"2","1676048950218","test2.py","1.1.5 for 2021-2022 @t1",,"=",,,,,
"X-Keystroke","=",,"2","1676048952326","test2.py","1.1.5 for 2021-2022 @t1",,"=",,,,,
"X-Keystroke","3",,"3","1676048952671","test2.py","1.1.5 for 2021-2022 @t1",,"3",,,,,
"X-Action","Left",,,"1676048953644","test2.py","1.1.5 for 2021-2022 @t1",,"Left",,,,,
"X-Action","Left",,,"1676048953756","test2.py","1.1.5 for 2021-2022 @t1",,"Left",,,,,
"File.Edit","b","","1","1676048953876","test2.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","b",,"2","1676048953878","test2.py","1.1.5 for 2021-2022 @t1",,"b",,,,,
"X-Keystroke","b",,"2","1676048953877","test2.py","1.1.5 for 2021-2022 @t1",,"b",,,,,
"X-Action","Creating file /Users/edwards/PycharmProjects/correspondence/test3.py",,,"1676048963847","test2.py","1.1.5 for 2021-2022 @t1",,"Creating file /Users/edwards/PycharmProjects/correspondence/test3.py",,,,,
"X-Keystroke","a",,"1","1676049007620","test3.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke","=",,"2","1676049008752","test3.py","1.1.5 for 2021-2022 @t1",,"=",,,,,
"X-Keystroke","3",,"3","1676049009959","test3.py","1.1.5 for 2021-2022 @t1",,"3",,,,,
"File.Edit","a","","0","1676049007619","test3.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"1","1676049007620","test3.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit","=","","1","1676049008750","test3.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","=",,"2","1676049008752","test3.py","1.1.5 for 2021-2022 @t1",,"=",,,,,
"File.Edit","3","","2","1676049009958","test3.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","3",,"3","1676049009959","test3.py","1.1.5 for 2021-2022 @t1",,"3",,,,,
"X-Action","Left",,,"1676049010939","test3.py","1.1.5 for 2021-2022 @t1",,"Left",,,,,
"X-Action","Left",,,"1676049011086","test3.py","1.1.5 for 2021-2022 @t1",,"Left",,,,,
"X-Action","Paste",,,"1676049011973","test3.py","1.1.5 for 2021-2022 @t1",,"Paste",,,,,
"p","bcd",,"1","1676049012008","test3.py","1.1.5 for 2021-2022 @t1",,"bcd",,,,,
"File.Edit","bcd","","1","1676049012014","test3.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Right",,,"1676049014099","test3.py","1.1.5 for 2021-2022 @t1",,"Right",,,,,
"X-Action","Backspace",,,"1676049015727","test3.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","=","4","1676049015735","test3.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Keystroke","=",,"5","1676049017305","test3.py","1.1.5 for 2021-2022 @t1",,"=",,,,,
